# ./veth_bql_sweep.sh --pktgen --duration 20 --qdisc fq_codel --no-bpftrace
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95,count_p5,count_p25,count_p50,count_p75,count_p95
0,0,1645086,0.016,0.026,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,100,684412,0.029,0.045,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,1000,119770,0.137,0.223,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,2500,51116,0.305,0.525,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,5000,26702,0.599,0.960,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,7500,17601,0.937,0.974,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,10000,13282,1.218,0.962,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,15000,9096,1.810,0.941,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
0,20000,6882,2.413,1.611,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,0,1747364,0.138,0.162,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,100,755385,0.185,0.235,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,1000,126627,0.321,0.417,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,2500,52598,0.479,0.681,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,5000,26610,0.948,0.987,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,7500,17233,1.446,1.085,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,10000,12966,1.868,2.684,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,15000,8806,2.805,4.020,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
100,20000,6632,3.729,5.430,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,0,1735948,0.136,0.160,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,100,719195,0.317,0.369,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,1000,127091,0.992,0.989,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,2500,53114,1.208,0.986,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,5000,26898,1.507,1.092,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,7500,17784,2.255,2.939,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,10000,13518,1.981,2.876,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,15000,9317,2.808,4.003,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
500,20000,6728,3.766,5.448,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,0,1735422,0.137,0.161,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,100,730990,0.310,0.361,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,1000,126099,1.660,2.085,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
1000,2500,52666,1.955,2.505,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0
