# ./veth_bql_sweep.sh --pktgen --qdisc fq_codel --duration 10 --no-bpftrace
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95
0,0,1921150,0.041,0.084,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,100,619668,0.085,0.130,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,1000,92399,0.253,0.455,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,5000,20600,0.843,1.353,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,10000,10839,1.616,2.670,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,15000,7307,2.388,4.033,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,20000,5480,3.080,5.223,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,0,2022599,0.173,0.219,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,100,659197,0.241,0.289,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,1000,94421,0.483,0.626,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,5000,20839,1.341,1.860,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,10000,10915,2.536,3.400,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,15000,7498,3.742,5.277,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,20000,5591,4.976,6.910,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,0,2058412,0.181,0.256,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,100,636219,0.397,0.458,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,1000,94576,1.152,1.400,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,5000,20680,2.045,2.533,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,10000,10991,2.774,3.543,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,15000,7549,3.706,5.330,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,20000,5644,5.028,7.197,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,0,2020904,0.186,0.209,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,100,643739,0.395,0.460,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,1000,95531,1.874,2.393,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,5000,20989,2.644,3.343,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,10000,10999,4.111,5.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,15000,7491,3.907,5.693,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,20000,5621,4.951,6.967,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,0,1968409,0.180,0.218,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,100,638649,0.415,0.461,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,1000,95447,2.429,2.833,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,5000,20896,8.505,11.067,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,10000,10972,9.679,12.633,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,15000,7513,11.509,14.433,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,20000,5640,12.681,16.233,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,0,1992949,0.157,0.200,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,100,643062,0.407,0.478,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,1000,94856,2.473,2.853,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,5000,20888,11.430,13.100,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,10000,11046,17.280,22.300,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,15000,7644,18.445,23.200,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,20000,5742,19.709,25.033,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,0,2019880,0.172,0.213,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,100,654210,0.411,0.496,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,1000,96270,2.459,2.833,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,5000,21007,11.293,13.167,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,10000,11168,22.205,25.800,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,15000,7617,32.043,38.100,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,20000,5729,33.613,44.133,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
