tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95
0,0,1217379,0.079,0.269,0.315,0.375,0.436,0.493,667.635,2,2,2,3,3
0,100,540361,0.097,0.116,0.311,0.354,0.411,0.482,699.316,2,2,2,3,3
0,1000,91786,0.233,0.354,0.306,0.347,0.400,0.521,748.524,2,2,2,3,3
0,5000,19867,0.826,1.933,0.301,0.350,0.435,0.659,772.208,2,2,2,3,3
0,10000,10052,1.452,2.337,0.305,0.350,0.439,0.695,780.894,2,2,2,3,3
0,15000,6758,2.287,3.567,0.305,0.354,0.461,0.741,1008.780,2,2,2,3,3
0,20000,5039,3.094,4.773,0.308,0.367,0.516,38.919,982.621,2,2,2,3,3
100,0,1234715,0.079,0.170,50.934,250.738,500.493,750.248,950.052,244,193,128,64,13
100,100,653939,0.271,0.451,50.943,250.745,500.497,750.248,950.049,145,145,146,146,146
100,1000,93209,0.487,0.593,50.945,250.746,500.497,750.249,950.050,33,33,34,34,34
100,5000,19622,1.347,2.280,50.943,250.770,500.554,750.339,950.166,17,17,18,18,18
100,10000,9912,2.577,3.613,50.985,250.925,500.851,750.776,950.716,17,17,18,18,18
100,15000,6650,3.736,5.387,1034.367,1237.727,1491.927,1746.127,1949.487,17,17,18,18,18
100,20000,4954,5.039,7.257,1033.723,1238.073,1493.510,1748.946,1953.296,17,17,18,18,18
500,0,1244889,0.087,0.438,50.934,250.737,500.492,750.246,950.049,244,193,128,64,13
500,100,622412,0.445,0.740,50.953,250.763,500.526,750.288,950.099,244,193,128,64,13
500,1000,92762,1.027,1.267,50.934,250.741,500.500,750.259,950.066,96,97,97,98,99
500,5000,19693,2.081,2.597,50.957,250.784,500.568,750.352,950.179,32,32,33,33,34
500,10000,9909,2.542,3.540,51.185,251.923,502.847,753.770,954.509,17,17,18,18,18
500,15000,6638,3.881,5.387,1038.428,1240.925,1494.045,1747.166,1949.662,17,17,18,18,18
500,20000,4944,5.077,7.247,1038.256,1242.717,1498.293,1753.870,1958.330,17,17,18,18,18
1000,0,1243199,0.069,0.290,1038.178,1240.667,1493.778,1746.889,1949.378,244,193,128,64,13
1000,100,644204,0.428,0.491,1037.609,1240.218,1493.479,1746.739,1949.348,244,193,128,64,13
1000,1000,93520,1.763,2.260,1037.390,1240.045,1493.364,1746.682,1949.336,197,198,198,199,199
1000,5000,20454,2.661,3.427,1037.498,1240.130,1493.420,1746.710,1949.342,48,48,49,49,50
1000,10000,10867,4.226,5.273,1040.634,1242.606,1495.071,1747.535,1949.507,32,32,33,33,34
1000,15000,7558,3.789,5.830,1039.534,1241.852,1494.750,1747.647,1949.965,17,17,18,18,24
1000,20000,5873,4.993,7.283,1043.028,1262.053,1535.834,1809.615,2342.796,17,17,17,18,18
5000,0,1250426,0.093,0.380,4191.961,5202.060,5468.040,5734.020,5946.804,244,193,128,64,13
5000,100,626032,0.429,0.577,4021.653,5201.570,5467.713,5733.857,5946.771,244,193,128,64,13
5000,1000,92016,2.538,2.940,3986.359,5200.496,5466.997,5733.499,5946.700,244,193,128,64,13
5000,5000,20466,8.656,11.000,4511.084,5200.264,5466.843,5733.422,5946.684,209,209,210,210,210
5000,10000,10848,10.190,13.067,3938.048,5198.970,5465.980,5732.990,5946.598,113,113,113,114,114
5000,15000,7552,11.725,14.867,3737.984,6061.292,6374.262,6687.233,6937.609,81,81,81,82,82
5000,20000,5906,12.750,16.333,3849.109,6092.842,6395.988,6699.135,6941.653,61,64,64,65,65
10000,0,1228441,0.077,0.277,4152.262,10148.932,10432.622,10716.311,10943.262,244,193,128,64,13
10000,100,624638,0.439,0.519,4057.956,10148.845,10432.563,10716.282,10943.257,244,193,128,64,13
10000,1000,92087,2.532,2.973,3883.571,10147.507,10431.672,10715.836,10943.167,244,193,128,64,13
10000,5000,20457,11.658,13.367,4078.832,10153.103,10435.402,10717.701,10943.540,244,193,128,64,13
10000,10000,10824,17.759,22.500,2850.199,10152.323,10435.112,10717.901,10944.132,209,209,209,210,210
10000,15000,7568,18.675,23.833,3613.072,10210.228,10594.250,11004.619,11770.493,142,143,145,145,146
10000,20000,5926,20.022,25.833,4826.998,11068.878,11379.498,11690.118,11938.614,112,113,113,114,114
20000,0,1248790,0.082,0.231,1283.836,3848.611,6419.180,12838.360,19257.541,244,193,128,64,13
20000,100,624450,0.439,0.518,1281.543,4181.250,6407.717,12815.433,19223.150,244,193,128,64,13
20000,1000,92487,2.564,2.927,1284.957,5443.333,6424.784,12849.567,19274.351,244,193,128,64,13
20000,5000,20467,11.728,13.467,1270.894,4978.148,6354.471,12708.942,19063.412,244,193,128,64,13
20000,10000,10857,22.897,26.600,1259.836,5466.944,6299.179,12598.358,18897.538,244,193,128,64,13
20000,15000,7588,31.398,39.300,1235.388,2254.030,6176.940,12353.880,18530.819,244,193,128,64,13
20000,20000,5919,34.935,45.133,1254.334,3665.639,6271.672,12543.344,18815.017,208,209,209,210,210
