# ./veth_bql_sweep.sh --pktgen --duration 10 --no-bpftrace
tx_usecs,nrules,avg_pps,avg_rtt_ms,avg_p99_ms,interval_p5_us,interval_p25_us,interval_p50_us,interval_p75_us,interval_p95_us,limit_p5,limit_p25,limit_p50,limit_p75,limit_p95
0,0,1898023,0.073,0.135,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,100,637866,0.105,0.141,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,1000,94560,0.339,0.490,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,5000,19877,1.430,2.230,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,10000,10023,2.721,4.277,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,15000,6694,4.158,6.373,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
0,20000,4999,5.466,9.183,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,0,2103763,0.173,0.256,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,100,669990,0.253,0.314,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,1000,96083,0.573,0.740,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,5000,20102,1.812,2.590,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,10000,10162,3.560,5.167,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,15000,6753,5.324,7.787,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
100,20000,5085,7.010,10.567,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,0,2154158,0.176,0.212,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,100,668408,0.402,0.460,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,1000,96052,1.228,1.547,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,5000,20122,2.557,3.363,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,10000,10135,3.433,5.187,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,15000,6782,5.171,7.487,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
500,20000,5110,7.350,10.767,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,0,2179816,0.168,0.212,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,100,664583,0.412,0.485,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,1000,96201,1.998,2.533,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,5000,20175,3.061,4.047,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,10000,10213,5.016,6.823,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,15000,6734,5.677,8.433,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
1000,20000,5084,7.296,10.467,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,0,2164339,0.164,0.191,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,100,669070,0.396,0.449,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,1000,96726,2.509,2.910,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,5000,20220,9.336,11.933,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,10000,10198,10.926,14.033,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,15000,6827,12.446,16.300,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
5000,20000,5138,14.224,18.467,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,0,2178574,0.164,0.222,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,100,666917,0.410,0.538,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,1000,97158,2.549,2.920,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,5000,20251,11.736,13.800,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,10000,10222,18.616,24.033,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,15000,6773,19.210,25.633,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
10000,20000,5117,21.967,28.167,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,0,2154973,0.162,0.201,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,100,666221,0.418,0.483,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,1000,96283,2.486,2.877,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,5000,20232,11.913,13.833,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,10000,10242,23.431,27.033,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,15000,6835,32.513,39.933,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
20000,20000,5096,36.126,47.400,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0
